attire,NONSHIFTER
attitudinise,NONSHIFTER
attitudinize,NONSHIFTER
attorn,NONSHIFTER
attract,NONSHIFTER
attribute,NONSHIFTER
attune,NONSHIFTER
auction,NONSHIFTER
auction_off,NONSHIFTER
auctioneer,NONSHIFTER
audit,NONSHIFTER
audition,NONSHIFTER
augment,NONSHIFTER
augur,NONSHIFTER
aurify,NONSHIFTER
auscultate,NONSHIFTER
auspicate,NONSHIFTER
authenticate,NONSHIFTER
author,NONSHIFTER
authorise,NONSHIFTER
authorize,NONSHIFTER
autoclave,NONSHIFTER
autograph,NONSHIFTER
automate,NONSHIFTER
automatise,NONSHIFTER
automatize,NONSHIFTER
automobile,NONSHIFTER
autopsy,NONSHIFTER
autotomise,NONSHIFTER
autotomize,NONSHIFTER
avail,NONSHIFTER
avalanche,NONSHIFTER
avenge,NONSHIFTER
aver,NONSHIFTER
average,NONSHIFTER
average_out,NONSHIFTER
avert,SHIFTER
avianise,NONSHIFTER
avianize,NONSHIFTER
aviate,NONSHIFTER
avoid,SHIFTER
avouch,NONSHIFTER
avow,NONSHIFTER
avulse,SHIFTER
await,NONSHIFTER
awake,NONSHIFTER
awaken,NONSHIFTER
award,NONSHIFTER
awe,NONSHIFTER
ax,SHIFTER
axe,SHIFTER
azure,NONSHIFTER
baa,NONSHIFTER
babbitt,NONSHIFTER
babble,NONSHIFTER
babble_out,NONSHIFTER
baby,NONSHIFTER
baby-sit,NONSHIFTER
babysit,NONSHIFTER
bach,NONSHIFTER
bachelor,NONSHIFTER
back,SHIFTER
back_away,SHIFTER
back_down,SHIFTER
back_off,SHIFTER
back_out,SHIFTER
back_up,SHIFTER
backbite,NONSHIFTER
backcross,NONSHIFTER
backdate,NONSHIFTER
backfire,NONSHIFTER
background,NONSHIFTER
backhand,NONSHIFTER
backlash,NONSHIFTER
backlog,NONSHIFTER
backpack,NONSHIFTER
backpedal,SHIFTER
backscatter,NONSHIFTER
backslap,NONSHIFTER
backslide,NONSHIFTER
backspace,NONSHIFTER
backstitch,NONSHIFTER
backstop,NONSHIFTER
backstroke,NONSHIFTER
backtrack,NONSHIFTER
bacterise,NONSHIFTER
bacterize,NONSHIFTER
badge,NONSHIFTER
badger,NONSHIFTER
badmouth,NONSHIFTER
baffle,SHIFTER
bag,SHIFTER
bail,NONSHIFTER
bail_out,NONSHIFTER
bait,NONSHIFTER
bake,NONSHIFTER
balance,NONSHIFTER
bald,NONSHIFTER
bale,NONSHIFTER
bale_out,NONSHIFTER
balk,SHIFTER
balkanise,NONSHIFTER
balkanize,NONSHIFTER
ball,NONSHIFTER
ball_over,NONSHIFTER
